рынок,стратегия,CAGR,просадка,Sharpe,IS_CAGR,OOS_CAGR,обыграл_BH
Золото,buyhold,0.11334547084825575,-0.2497179373311782,0.7320387278817363,0.08412317746611553,0.1433974491938077,False
Золото,trend,0.0817372899808615,-0.24230360527835926,0.6336827760997883,0.056005348017619694,0.10813309652917091,False
Золото,trend_ls,0.037423079787523905,-0.4589457306327972,0.3049973602517958,0.0422570874201007,0.0326048619896393,False
Золото,sma_20_50,0.07724068641851334,-0.19911095745414809,0.6216872499871046,0.05615976705778314,0.09877237365851155,False
Золото,sma_10_30,0.03588250010065597,-0.25114298870334983,0.3321034436744262,0.019314406512721982,0.052743338355419,False
Золото,candles,-0.0480640256047703,-0.5009483491468121,-0.39483699806430644,-0.08710510457745968,-0.007295889085609075,False
Золото,rsi_meanrev,0.032688838092157724,-0.17854496693677746,0.3912115188353778,0.0482929551294744,0.017295919649140234,False
Золото,macd,0.0360497244344955,-0.2351881326934625,0.35708685335160867,0.02413904223874197,0.04811566630801822,False
Золото,breakout20,-0.021928697553751597,-0.3389780613489001,-0.253478632602685,0.024290318509238462,-0.06612173405554711,False
Серебро,buyhold,0.12191446413639273,-0.4991831947008458,0.5152288151616329,0.07477542777984958,0.17119042770198667,False
Серебро,trend,0.06779876771995053,-0.44854823970661206,0.3818771443429874,0.030540968578515626,0.10645784698502903,False
Серебро,trend_ls,-0.01935074480610055,-0.7237652989145673,0.11276512801452383,-0.06239873523310813,0.025737300279261577,False
Серебро,sma_20_50,0.08953816672723991,-0.4089727350302541,0.4618209588175238,0.049248107155809295,0.13143420677648354,False
Серебро,sma_10_30,0.00047961675847152385,-0.5221332356657818,0.13952265974152847,0.020275962677473558,-0.018959172297306925,False
Серебро,candles,-0.10131162672190996,-0.7806473377078817,-0.37298160482316345,-0.07724701317347493,-0.12478060077821618,False
Серебро,rsi_meanrev,0.10633969741372162,-0.3233190925586562,0.6283546033762165,0.06898454376360563,0.1450545311394762,False
Серебро,macd,0.0403673212758171,-0.5157777393687331,0.2869807763853617,0.08742340953786298,-0.004713323213346277,False
Серебро,breakout20,-0.07725733079006358,-0.618253046782758,-0.4974500746183217,-0.04062759950615058,-0.11253622436508703,False
Нефть,buyhold,0.03686369183687899,-1.4924747973382881,-0.16579786612994182,-0.04705389162064211,0.12823687144168705,False
Нефть,trend,-0.00739995393455084,-0.560061458254868,0.09551815562018742,-0.03752299723181374,0.02368763455720657,False
Нефть,trend_ls,-0.03787745752794225,-0.92094723589668,0.2382769804205898,-0.0014595569412004794,-0.07299092516324812,False
Нефть,sma_20_50,0.042874241108514566,-0.5208867219101094,0.29163486847718506,0.01190699642921711,0.07481153129008322,True
Нефть,sma_10_30,0.09509659626842448,-0.5793164433021787,0.46806960595540476,0.12456488246912278,0.0663809598486289,True
Нефть,candles,-0.15671702435652568,-0.9121441958456739,-0.41892668164179414,-0.18342582252524642,-0.12911528167611386,False
Нефть,rsi_meanrev,0.05624401496720788,-1.6054158690588634,-0.18804570947118568,0.015220751718838521,0.09895499837176347,True
Нефть,macd,,-5.725476558384523,-0.22280412850531137,,-0.10307867470382348,False
Нефть,breakout20,-0.05014000149704245,-0.4859630640021666,-0.2551313670501701,-0.09690417950606467,-0.0009194679077767498,False
Медь,buyhold,0.07324859110625948,-0.356362000349989,0.41411046124283285,0.012016632579277209,0.13823152781167258,False
Медь,trend,0.008053620522638694,-0.4828718679826204,0.1371048030863357,0.0065660004698697705,0.009544468083099611,False
Медь,trend_ls,-0.006948453499456386,-0.5213986103061571,0.09401921321421453,-0.045499971692027574,0.033188362888960876,False
Медь,sma_20_50,0.05940397678136078,-0.35896777698784965,0.3978631608611731,0.033845016036951,0.0856131090665766,False
Медь,sma_10_30,-0.006928502196347441,-0.4212977138821944,0.05800571489545891,-0.04865418992677595,0.03665796871038696,False
Медь,candles,-0.13410667055760417,-0.8296204693867004,-0.8495716871611709,-0.14553517050785592,-0.12251726807523,False
Медь,rsi_meanrev,0.06397620477376331,-0.30019848571733876,0.48718487309639313,0.034319525669346485,0.09450457242164623,False
Медь,macd,0.03667669574452237,-0.29921033188891744,0.2981766050648788,0.003103018046792805,0.07139842075232994,False
Медь,breakout20,-0.003045595977057114,-0.3085769726284652,0.016253967792300626,0.011181733082362033,-0.017082358589066815,False
Bitcoin,buyhold,0.37608415464558,-0.8339900882218974,0.8564161593210411,0.528148894910953,0.23902790320161182,False
Bitcoin,trend,0.31330275401991536,-0.7142836290683239,0.858280112231324,0.44645752998291854,0.19229629236425816,False
Bitcoin,trend_ls,0.19487415926407614,-0.8083793658876325,0.6000646477994439,0.29261916673242006,0.10443793975076066,False
Bitcoin,sma_20_50,0.3507836072902346,-0.7224491705204727,0.9400544588236771,0.49371291352401525,0.2214141436085293,False
Bitcoin,sma_10_30,0.38717956413224397,-0.637654028739731,1.0309595568089442,0.629725146572796,0.18055041515550885,True
Bitcoin,candles,0.19558234287764842,-0.5053612171991031,0.686890715422328,0.2390389688534702,0.15367886017224452,False
Bitcoin,rsi_meanrev,0.108879047857386,-0.6733460657371313,0.46662656592034796,0.21358023291522965,0.013124106539891045,False
Bitcoin,macd,0.4368198849690941,-0.4998003657851764,1.1575906414776884,0.7134245377472432,0.20466713802313352,True
