Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
GOLD - COMMODITY EXCHANGE INC.,241022,2024-10-22,088691,CMX ,1,88,573760,371813,75609,81488,66245,390946,519546,548043,54214,25717,573760,371813,75609,81488,66245,390946,519546,548043,54214,25717,0,0,0,0,0,0,0,0,0,0,   32528,   14319,    4549,   18268,   -3783,    8260,   28804,   31077,    3724,    1451,100.0,64.8,13.2,14.2,11.5,68.1,90.6,95.5,9.4,4.5,100.0,64.8,13.2,14.2,11.5,68.1,90.6,95.5,9.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,197,74,74,35,56,260,180,344,197,74,74,35,56,260,180,0,0,0,0,0,0,0,0,18.9,34.6,29.5,47.9,17.6,33.5,26.1,45.5,18.9,34.6,29.5,47.9,17.6,33.5,26.1,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241015,2024-10-15,088691,CMX ,1,88,541232,357494,71060,63220,70028,382686,490742,516966,50490,24266,541232,357494,71060,63220,70028,382686,490742,516966,50490,24266,0,0,0,0,0,0,0,0,0,0,   20916,    8603,     349,   12192,    1071,    9753,   21866,   22294,    -950,   -1378,100.0,66.1,13.1,11.7,12.9,70.7,90.7,95.5,9.3,4.5,100.0,66.1,13.1,11.7,12.9,70.7,90.7,95.5,9.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,187,72,71,34,54,250,171,328,187,72,71,34,54,250,171,0,0,0,0,0,0,0,0,19.6,36.5,28.8,50.0,19.5,35.0,27.4,48.3,19.6,36.5,28.8,50.0,19.5,35.0,27.4,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241008,2024-10-08,088691,CMX ,1,88,520316,348891,70711,51028,68957,372933,468876,494672,51440,25644,520316,348891,70711,51028,68957,372933,468876,494672,51440,25644,0,0,0,0,0,0,0,0,0,0,  -12791,  -21160,     591,    8262,    1858,  -21690,  -11040,  -12837,   -1751,      46,100.0,67.1,13.6,9.8,13.3,71.7,90.1,95.1,9.9,4.9,100.0,67.1,13.6,9.8,13.3,71.7,90.1,95.1,9.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,179,69,67,36,52,238,168,318,179,69,67,36,52,238,168,0,0,0,0,0,0,0,0,20.3,38.2,29.4,51.7,20.2,36.8,28.1,50.1,20.3,38.2,29.4,51.7,20.2,36.8,28.1,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241001,2024-10-01,088691,CMX ,1,88,533107,370051,70120,42766,67099,394623,479916,507509,53191,25598,533107,370051,70120,42766,67099,394623,479916,507509,53191,25598,0,0,0,0,0,0,0,0,0,0,  -31533,  -17521,   -2062,   -4145,   -9614,  -21796,  -31280,  -28003,    -253,   -3530,100.0,69.4,13.2,8.0,12.6,74.0,90.0,95.2,10.0,4.8,100.0,69.4,13.2,8.0,12.6,74.0,90.0,95.2,10.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,182,71,66,35,57,243,170,324,182,71,66,35,57,243,170,0,0,0,0,0,0,0,0,19.6,38.3,29.1,52.4,19.4,37.1,27.8,50.9,19.6,38.3,29.1,52.4,19.4,37.1,27.8,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240924,2024-09-24,088691,CMX ,1,88,564640,387572,72182,46911,76713,416419,511196,535512,53444,29128,564640,387572,72182,46911,76713,416419,511196,535512,53444,29128,0,0,0,0,0,0,0,0,0,0,   27013,   17838,   12514,    6641,    2066,    6645,   26545,   25800,     468,    1213,100.0,68.6,12.8,8.3,13.6,73.7,90.5,94.8,9.5,5.2,100.0,68.6,12.8,8.3,13.6,73.7,90.5,94.8,9.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,195,70,82,39,56,268,176,336,195,70,82,39,56,268,176,0,0,0,0,0,0,0,0,18.6,38.1,27.6,53.4,18.2,36.6,26.6,51.3,18.6,38.1,27.6,53.4,18.2,36.6,26.6,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240917,2024-09-17,088691,CMX ,1,88,537627,369734,59668,40270,74647,409774,484651,509712,52976,27915,537627,369734,59668,40270,74647,409774,484651,509712,52976,27915,0,0,0,0,0,0,0,0,0,0,   26126,   29728,    2163,   -2056,   -3585,   24643,   24087,   24750,    2039,    1376,100.0,68.8,11.1,7.5,13.9,76.2,90.1,94.8,9.9,5.2,100.0,68.8,11.1,7.5,13.9,76.2,90.1,94.8,9.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,191,67,76,37,54,258,169,326,191,67,76,37,54,258,169,0,0,0,0,0,0,0,0,18.5,40.6,27.7,55.9,18.2,39.1,26.6,54.3,18.5,40.6,27.7,55.9,18.2,39.1,26.6,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240910,2024-09-10,088691,CMX ,1,88,511501,340006,57505,42326,78232,385131,460564,484962,50937,26539,511501,340006,57505,42326,78232,385131,460564,484962,50937,26539,0,0,0,0,0,0,0,0,0,0,     365,     849,    5906,    1961,   -2184,   -7172,     626,     695,    -261,    -330,100.0,66.5,11.2,8.3,15.3,75.3,90.0,94.8,10.0,5.2,100.0,66.5,11.2,8.3,15.3,75.3,90.0,94.8,10.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,183,67,78,39,52,255,166,318,183,67,78,39,52,255,166,0,0,0,0,0,0,0,0,18.4,42.3,27.1,56.9,18.2,40.8,25.9,55.4,18.4,42.3,27.1,56.9,18.2,40.8,25.9,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240903,2024-09-03,088691,CMX ,1,88,511136,339157,51599,40365,80416,392303,459938,484267,51198,26869,511136,339157,51599,40365,80416,392303,459938,484267,51198,26869,0,0,0,0,0,0,0,0,0,0,  -10623,   -4173,    2714,    1727,   -4686,  -15118,   -7132,  -10677,   -3491,      54,100.0,66.4,10.1,7.9,15.7,76.8,90.0,94.7,10.0,5.3,100.0,66.4,10.1,7.9,15.7,76.8,90.0,94.7,10.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,180,65,75,38,55,245,170,313,180,65,75,38,55,245,170,0,0,0,0,0,0,0,0,17.8,44.0,27.2,59.1,17.6,42.5,26.2,57.6,17.8,44.0,27.2,59.1,17.6,42.5,26.2,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240827,2024-08-27,088691,CMX ,1,88,521759,343330,48885,38638,85102,407421,467070,494944,54689,26815,521759,343330,48885,38638,85102,407421,467070,494944,54689,26815,0,0,0,0,0,0,0,0,0,0,  -11108,  -12221,  -15413,     472,   -1130,    4683,  -12879,  -10258,    1771,    -850,100.0,65.8,9.4,7.4,16.3,78.1,89.5,94.9,10.5,5.1,100.0,65.8,9.4,7.4,16.3,78.1,89.5,94.9,10.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,192,62,75,40,53,258,167,324,192,62,75,40,53,258,167,0,0,0,0,0,0,0,0,17.0,43.4,26.0,59.0,16.9,41.1,25.0,56.7,17.0,43.4,26.0,59.0,16.9,41.1,25.0,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240820,2024-08-20,088691,CMX ,1,88,532867,355551,64298,38166,86232,402738,479949,505202,52918,27665,532867,355551,64298,38166,86232,402738,479949,505202,52918,27665,0,0,0,0,0,0,0,0,0,0,   26995,   26782,    2793,    -236,   -2081,   21923,   24465,   24480,    2530,    2515,100.0,66.7,12.1,7.2,16.2,75.6,90.1,94.8,9.9,5.2,100.0,66.7,12.1,7.2,16.2,75.6,90.1,94.8,9.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341,200,70,79,43,52,275,172,341,200,70,79,43,52,275,172,0,0,0,0,0,0,0,0,16.8,41.5,26.1,56.7,16.6,38.8,25.1,53.9,16.8,41.5,26.1,56.7,16.6,38.8,25.1,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
