dt,close,comm_idx,smallspec_idx
2008-07-07,927.2999877929688,34.21875623810601,65.40071237756011
2008-07-08,921.9000244140625,34.21875623810601,65.40071237756011
2008-07-09,927.2999877929688,34.21875623810601,65.40071237756011
2008-07-10,940.9000244140625,34.21875623810601,65.40071237756011
2008-07-11,959.5,34.21875623810601,65.40071237756011
2008-07-14,972.7000122070312,32.04556645329571,64.10952804986643
2008-07-15,977.7000122070312,32.04556645329571,64.10952804986643
2008-07-16,961.7999877929688,32.04556645329571,64.10952804986643
2008-07-17,970.0,32.04556645329571,64.10952804986643
2008-07-18,957.2999877929688,32.04556645329571,64.10952804986643
2008-07-21,963.0999755859375,8.201695434039099,85.19590382902939
2008-07-22,948.0,8.201695434039099,85.19590382902939
2008-07-23,922.4000244140625,8.201695434039099,85.19590382902939
2008-07-24,922.0,8.201695434039099,85.19590382902939
2008-07-25,926.5999755859375,8.201695434039099,85.19590382902939
2008-07-28,927.5999755859375,20.865549685266757,79.02493321460373
2008-07-29,916.4000244140625,20.865549685266757,79.02493321460373
2008-07-30,902.9000244140625,20.865549685266757,79.02493321460373
2008-07-31,913.9000244140625,20.865549685266757,79.02493321460373
2008-08-01,909.0,20.865549685266757,79.02493321460373
2008-08-04,900.0999755859375,44.008091239370266,56.51380231522707
2008-08-05,878.5999755859375,44.008091239370266,56.51380231522707
2008-08-06,875.5999755859375,44.008091239370266,56.51380231522707
2008-08-07,870.7000122070312,44.008091239370266,56.51380231522707
2008-08-08,857.7999877929688,44.008091239370266,56.51380231522707
2008-08-11,821.5,71.62743036610196,46.8833481745325
2008-08-12,808.2000122070312,71.62743036610196,46.8833481745325
2008-08-13,825.0,71.62743036610196,46.8833481745325
2008-08-14,808.2000122070312,71.62743036610196,46.8833481745325
2008-08-15,786.0,71.62743036610196,46.8833481745325
2008-08-18,799.7000122070312,100.0,2.19946571682992
2008-08-19,811.0999755859375,100.0,2.19946571682992
2008-08-20,810.2999877929688,100.0,2.19946571682992
